epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.709,1.00626,0.48609,0.89104,0.99249,0.99814,0.99454,0.72982,0.98893,0.45811,0.90397,0.0011882,0.0011882,0.0011882
43,126.229,0.98569,0.47121,0.88353,0.99202,0.99803,0.99469,0.73798,0.98939,0.44475,0.90397,0.0011684,0.0011684,0.0011684
44,129.638,1.00232,0.47311,0.89328,0.99295,0.99706,0.99479,0.7383,0.96993,0.43819,0.89772,0.0011486,0.0011486,0.0011486
45,132.81,0.98836,0.48887,0.88893,0.991,0.99858,0.99486,0.73329,0.99576,0.4813,0.89915,0.0011288,0.0011288,0.0011288
46,135.915,0.98503,0.46967,0.88514,0.99102,0.99906,0.99491,0.74119,0.97426,0.47561,0.89401,0.001109,0.001109,0.001109
47,138.968,0.97674,0.46378,0.87955,0.9911,0.99899,0.9949,0.73865,0.97073,0.43209,0.89742,0.0010892,0.0010892,0.0010892
48,142.087,0.97167,0.45213,0.88863,0.99116,0.99764,0.99473,0.73064,0.99345,0.42983,0.90056,0.0010694,0.0010694,0.0010694
49,145.156,1.00627,0.47962,0.89236,0.99016,0.99818,0.99488,0.74116,0.97857,0.43606,0.89823,0.0010496,0.0010496,0.0010496
50,148.122,0.99315,0.46899,0.88097,0.99202,0.99797,0.99479,0.73755,0.9864,0.44339,0.90064,0.0010298,0.0010298,0.0010298
51,151.253,0.97959,0.45646,0.88698,0.99027,0.99764,0.99488,0.74166,0.96975,0.45069,0.89417,0.00101,0.00101,0.00101
52,154.11,0.97631,0.45405,0.88563,0.99217,0.99669,0.99492,0.74352,0.96655,0.42382,0.89824,0.0009902,0.0009902,0.0009902
53,156.875,0.97097,0.45097,0.88432,0.99156,0.99799,0.99491,0.74374,0.97209,0.42268,0.8969,0.0009704,0.0009704,0.0009704
54,159.632,0.96972,0.44637,0.88797,0.99295,0.99804,0.99484,0.74075,0.96224,0.41964,0.89396,0.0009506,0.0009506,0.0009506
55,162.488,0.97076,0.44982,0.88671,0.99183,0.99764,0.9948,0.73415,0.99022,0.44066,0.89887,0.0009308,0.0009308,0.0009308
56,165.159,0.96294,0.448,0.88336,0.99295,0.99777,0.99492,0.74262,0.96223,0.41817,0.89503,0.000911,0.000911,0.000911
57,168.103,0.95555,0.44099,0.87971,0.99295,0.998,0.9949,0.73867,0.97583,0.41036,0.89812,0.0008912,0.0008912,0.0008912
58,171.224,0.94749,0.43602,0.8803,0.99219,0.99858,0.99488,0.73972,0.97195,0.40496,0.89775,0.0008714,0.0008714,0.0008714
59,174.246,0.96543,0.4393,0.87574,0.99156,0.99832,0.9948,0.73326,0.99621,0.41914,0.90527,0.0008516,0.0008516,0.0008516
60,177.205,0.96026,0.44386,0.89011,0.99341,0.99663,0.99487,0.73088,0.98108,0.42802,0.89756,0.0008318,0.0008318,0.0008318
61,180.162,0.98138,0.4533,0.88819,0.99285,0.99764,0.99493,0.74138,0.96496,0.4189,0.89402,0.000812,0.000812,0.000812
62,183.243,0.95558,0.44262,0.87439,0.99301,0.99811,0.99494,0.74139,0.97163,0.40818,0.89625,0.0007922,0.0007922,0.0007922
63,186.147,0.94484,0.43136,0.87697,0.99249,0.99788,0.99493,0.74125,0.96201,0.40542,0.89591,0.0007724,0.0007724,0.0007724
64,189.052,0.93476,0.42838,0.88478,0.99341,0.99717,0.99491,0.7459,0.95996,0.40703,0.89137,0.0007526,0.0007526,0.0007526
65,191.971,0.93916,0.43333,0.87576,0.99163,0.99858,0.99479,0.74529,0.95816,0.43124,0.89204,0.0007328,0.0007328,0.0007328
66,194.85,0.93802,0.4285,0.88257,0.99312,0.99764,0.99481,0.74738,0.94955,0.40501,0.89135,0.000713,0.000713,0.000713
67,197.661,0.94153,0.42506,0.88222,0.99357,0.99764,0.99484,0.74066,0.96134,0.40405,0.8973,0.0006932,0.0006932,0.0006932
68,200.556,0.94965,0.43771,0.87887,0.99287,0.99858,0.99481,0.73518,0.98891,0.40572,0.90599,0.0006734,0.0006734,0.0006734
69,203.447,0.9338,0.42267,0.87703,0.99389,0.99622,0.99488,0.74685,0.95187,0.40376,0.89163,0.0006536,0.0006536,0.0006536
70,206.438,0.93823,0.42098,0.87549,0.99341,0.99764,0.9949,0.74927,0.95384,0.41625,0.89096,0.0006338,0.0006338,0.0006338
71,209.421,0.93218,0.41818,0.87785,0.99342,0.99733,0.99482,0.74302,0.96416,0.40812,0.89243,0.000614,0.000614,0.000614
72,212.467,0.93294,0.41882,0.87736,0.99338,0.99764,0.99489,0.74315,0.95179,0.38983,0.89097,0.0005942,0.0005942,0.0005942
73,215.553,0.92813,0.41398,0.87317,0.99389,0.99798,0.99488,0.74092,0.9681,0.38774,0.89518,0.0005744,0.0005744,0.0005744
74,218.183,0.92903,0.4188,0.88307,0.99389,0.99801,0.99491,0.74769,0.95314,0.38655,0.8923,0.0005546,0.0005546,0.0005546
75,220.981,0.92299,0.41249,0.87826,0.99412,0.99858,0.99489,0.74544,0.95668,0.38743,0.8937,0.0005348,0.0005348,0.0005348
76,224.034,0.9094,0.40672,0.87093,0.99413,0.99906,0.99475,0.74293,0.96162,0.38566,0.89427,0.000515,0.000515,0.000515
77,227.195,0.92458,0.41423,0.87781,0.99419,0.99906,0.99482,0.74749,0.94818,0.38133,0.89171,0.0004952,0.0004952,0.0004952
78,230.422,0.92764,0.41256,0.8681,0.99405,0.99858,0.99492,0.75029,0.94528,0.38404,0.88938,0.0004754,0.0004754,0.0004754
79,233.536,0.91944,0.40739,0.87615,0.99389,0.99852,0.99492,0.75206,0.9394,0.38663,0.88819,0.0004556,0.0004556,0.0004556
80,236.453,0.91874,0.41014,0.87299,0.99349,0.99764,0.99492,0.75259,0.94387,0.38396,0.88947,0.0004358,0.0004358,0.0004358
81,239.503,0.92107,0.40616,0.87789,0.99264,0.99858,0.99491,0.74156,0.95887,0.378,0.89539,0.000416,0.000416,0.000416
82,242.533,0.90771,0.40259,0.87809,0.99264,0.99858,0.99493,0.74786,0.94086,0.37527,0.89015,0.0003962,0.0003962,0.0003962
83,245.751,0.91764,0.40554,0.87564,0.99292,0.99906,0.99492,0.74716,0.94653,0.37903,0.89088,0.0003764,0.0003764,0.0003764
84,248.956,0.90987,0.40599,0.86837,0.99296,0.99879,0.99491,0.7476,0.94716,0.3729,0.8931,0.0003566,0.0003566,0.0003566
85,251.822,0.90455,0.39918,0.87009,0.99296,0.99886,0.99492,0.7476,0.94739,0.37243,0.89251,0.0003368,0.0003368,0.0003368
86,254.772,0.91257,0.40621,0.86592,0.99373,0.99717,0.99493,0.74974,0.93879,0.37281,0.89095,0.000317,0.000317,0.000317
87,257.589,0.91658,0.41225,0.87918,0.99343,0.99717,0.99493,0.74628,0.95257,0.38051,0.8939,0.0002972,0.0002972,0.0002972
88,260.3,0.89812,0.39657,0.86956,0.99295,0.99777,0.99491,0.74566,0.95,0.37749,0.89268,0.0002774,0.0002774,0.0002774
89,262.994,0.89643,0.3944,0.86799,0.9937,0.99811,0.99492,0.74674,0.94799,0.37117,0.89305,0.0002576,0.0002576,0.0002576
